Report	Description	Product	Report Analyst	Associated ask channel	Category	Support Domain	key	Product Requirement	Rank	Product PM	Associated Product	Associated Suite	Assignment Confident Level
1099 Review	The 1099 Review report is designed to help you audit your vendor 1099 information. The report can help you determine if any required 1099 information is missing in addition to allowing you to review payment amounts and dates.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	1099_review	Entrata Core		Conner Dalton	Financial Operations - Payments	Property Ops Experience	
5% BAH Payback	This report will provide details pertaining to residents and their BAH rates, in order to participate in the 5% give back program.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	5%_bah_payback	Entrata Military			Resident Operations - Sub-Vertical - Military	Property Ops Experience	
Account Tree Trial Balance Comparison	This report is very similar to our standard Trial Balance report but displays two additional columns to show which Child Tree accounts are mapped to the Master Accounts.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	account_tree_trial_balance_comparison	No Product Requirement			Financial Operations - General Accounting	Property Ops Experience	
Account Verification	This report will show when Resident Account Verification detects an invalid account number and prevents a resident from making an echeck payment on the Resident Portal.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Payments	Reports	account_verification	ResidentPortal, ResidentPay				N/A	
Accruals	This report provides the purchase order details of each accrual journal entry for the period selected.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Reports	accruals	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
Activity Log	The Activity Log report will show the activity of a resident/lead, as shown in their Activity Log, over a given period of time.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	System	Reports	activity_log	Entrata Core, LeaseExecution, LeadManager, Entrata Affordable, Entrata Commercial			Shared Libraries and Services (PaaS)	Product Tech (Ops & Site Reliability & SDET)	
Activity Log Transfer	The Migrations Activity Log Transfer Report is an internal report that can help you in validating activity logs transfers and imports. This report will be used when migrating sites into entrata that include either a PDM Tool transfer or an activity csv import.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Migrations	Reports	activity_log_transfer	No Product Requirement			Shared Libraries and Services (PaaS)	Product Tech (Ops & Site Reliability & SDET)	
Add Ons	This report will allow you to track and manage your add ons (rentable items, assignable items, and services) by reporting summary occupancy statuses and showing individual add-on item details. Currently, no required permissions are need to use this report.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	add_ons	No Product Requirement			Asset Operations - Configurations	Property Ops Experience	
Allocations	The Allocations report details how resident receipts and other credits/concessions are allocated against charges and delinquencies. This information is useful for ensuring the appropriate accounting of all collections and analyzing overall collections.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	allocations	Entrata Core			Financial Operations - Customer Transactions	Property Ops Experience	
Amenities	This report will provide a detailed view of property, floor plan, and unit space amenity rent types that have been created within the selected properties. This report also allows you to view which residents and/or prospects that are associated to each amenity rent type listed. Currently, only clients that have Entrata Core can use this report.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	amenities	No Product Requirement			Asset Operations - Configurations	Property Ops Experience	
